study_hours_per_day,attendance,assignments_completed,midterm_score,previous_sgpa,daily_screen_time,social_media_usage,class_participation,sleep_hours,stress_level,physical_activity,internet_quality,study_environment,fatigue_score,gender,sgpa
4.37, 82.4 %,5,84.82,8.28,,2.77,6,8.05,HIGH,3.07,4,2,4.46,Female,
9.56,58.6%,3,60.7,6.3,5.49,3.85,2,6.82,medium,4.6,3,1,7.24,F,4.83
7.59,93.6%,,71.34,5.11,3.79,,1,,1,3.29,4,2,5.85,M,
6.39, 80.7 %,2,61.6,5.71,2.85,1.42,6,4.34,4,3.49,5,4,4.55,F,4
2.4,58,4,40.96,7.2,7.34,3.66,1,8.34,4,2.07,1,1,2.11,Female,4
2.4,98.1%,0,73.75,6.41,1.11,2.85,6,6.14,high,0.34,,4,4,male,4
1.52,75.9%,9,47.43,8.82,3.29,1.55,10,6.28,medium,6.42,5,5,8.56,male,4
8.8,53.6%,2,44.8,5.53,7.6,2.68,2,4.64,low,0.09,5,4,8.3,male,4
6.41, 81.3 %,7,85.33,9.59,5.58,2.57,7,4.17,1,1.97,5,5,1.26,male,5.48
7.37,62.7%,8,40.57,9.48,4.73,3.61,10,5.58,Low,3.13,1,2,2.26,Female,5.3
1.19, 90.2 %,8,97.54,9.54,2.42,0.51,2,4.87,Low,2.23,3,1,7.8,M,5.49
9.73, 90.9 %,9,70.92,8.7,6.83,3.14,2,6.42,4,3.86,2,3,,,6.84
8.49, 98.9 %,1,98.98,5.53,2.43,,6,4.74,high,3.23,4,4,6.79,Female,5.42
2.91,75.1%,3,43.48,7.19,2.74,3.85,4,4.69,HIGH,1.79,2,1,6.06,female,4
2.64, 72.7 %,4,75.01,5.66,2.34,4.5,6,8.38,medium,0.62,4,3,6.87,Male,4
2.65,88,2,60.96,9.94,,2.48,8,8.61,high,0.96,1,1,1.48,male,
,,10,90.61,6.67,7.67,2.04,10,8.82,5,3.4,,3,9.38,Male,
5.72,77.3%,0,61.67,7.93,5.21,0.96,3,7.4,HIGH,5.92,2,1,1.19,male,4
4.89,77.3%,5,55.63,8.9,5.46,2.02,5,7.86,HIGH,0.7,5,5,1.07,Male,5.15
3.62,54.5%,9,91.45,9.6,7.68,0.81,5,8.18,low,4.74,5,3,,female,4.98
6.51,70.9%,1,62.48,8.78,2.61,4.11,10,7.29,Low,5.54,5,1,9.94,female,4.02
2.26, 92.7 %,8,41.01,8.37,1.04,4.13,9,5.65,Low,1.94,2,3,1.65,Male,4
3.63, 92.8 %,0,63.42,7.33,5.19,2.38,7,4.78,medium,4.68,,5,8.87,M,4
4.3,55.0%,,79.27,8.03,4.55,1.67,9,5.19,,4.81,3,3,2.43,F,
5.1, 54.5 %,8,55.26,5.47,4.34,1.03,8,8.2,5,4.95,5,3,1.98,M,4.48
14.5329315555229,63.1%,6,65.92,9.42,1.43,4.33,3,2.06731442502697,high,,,1,8.01,Male,6.78
2.8, 93.7 %,10,43.4,7.72,4.18,4.45,2,6.28,HIGH,2.79,5,4,8.62,F,4
5.63, 56.4 %,9,75.29,5.2,3.01,1.7,3,4.15,Low,1.71,4,5,,female,4.47
6.33, 86.0 %,1,85.38,9.6,2.92,3.3,6,5.33,low,3.81,4,1,3.17,F,4.79
1.42, 55.1 %,5,64.8,7.45,2.56,1.66,10,,4,0.44,2,2,8.92,F,4
